origin_city,scenario,date,prevalence_o
Hefei,Scenario 1,2019-11-01,0
Hefei,Scenario 1,2019-11-02,0
Hefei,Scenario 1,2019-11-03,0
Hefei,Scenario 1,2019-11-04,0
Hefei,Scenario 1,2019-11-05,0
Hefei,Scenario 1,2019-11-06,0
Hefei,Scenario 1,2019-11-07,0
Hefei,Scenario 1,2019-11-08,0
Hefei,Scenario 1,2019-11-09,0
Hefei,Scenario 1,2019-11-10,0
Hefei,Scenario 1,2019-11-11,0
Hefei,Scenario 1,2019-11-12,0
Hefei,Scenario 1,2019-11-13,0
Hefei,Scenario 1,2019-11-14,0
Hefei,Scenario 1,2019-11-15,0
Hefei,Scenario 1,2019-11-16,0
Hefei,Scenario 1,2019-11-17,0
Hefei,Scenario 1,2019-11-18,0
Hefei,Scenario 1,2019-11-19,0
Hefei,Scenario 1,2019-11-20,0
Hefei,Scenario 1,2019-11-21,0
Hefei,Scenario 1,2019-11-22,0
Hefei,Scenario 1,2019-11-23,0
Hefei,Scenario 1,2019-11-24,0
Hefei,Scenario 1,2019-11-25,0
Hefei,Scenario 1,2019-11-26,0
Hefei,Scenario 1,2019-11-27,0
Hefei,Scenario 1,2019-11-28,0
Hefei,Scenario 1,2019-11-29,0
Hefei,Scenario 1,2019-11-30,0
Hefei,Scenario 1,2019-12-01,0
Hefei,Scenario 1,2019-12-02,0
Hefei,Scenario 1,2019-12-03,0
Hefei,Scenario 1,2019-12-04,0
Hefei,Scenario 1,2019-12-05,0
Hefei,Scenario 1,2019-12-06,0
Hefei,Scenario 1,2019-12-07,0
Hefei,Scenario 1,2019-12-08,0
Hefei,Scenario 1,2019-12-09,0
Hefei,Scenario 1,2019-12-10,0
Hefei,Scenario 1,2019-12-11,0
Hefei,Scenario 1,2019-12-12,0
Hefei,Scenario 1,2019-12-13,0
Hefei,Scenario 1,2019-12-14,0
Hefei,Scenario 1,2019-12-15,0
Hefei,Scenario 1,2019-12-16,0
Hefei,Scenario 1,2019-12-17,0
Hefei,Scenario 1,2019-12-18,0
Hefei,Scenario 1,2019-12-19,0
Hefei,Scenario 1,2019-12-20,0
Hefei,Scenario 1,2019-12-21,0
Hefei,Scenario 1,2019-12-22,0
Hefei,Scenario 1,2019-12-23,0
Hefei,Scenario 1,2019-12-24,0
Hefei,Scenario 1,2019-12-25,0
Hefei,Scenario 1,2019-12-26,0
Hefei,Scenario 1,2019-12-27,0
Hefei,Scenario 1,2019-12-28,0
Hefei,Scenario 1,2019-12-29,0
Hefei,Scenario 1,2019-12-30,0
Hefei,Scenario 1,2019-12-31,0
Hefei,Scenario 1,2020-01-01,0
Hefei,Scenario 1,2020-01-02,0
Hefei,Scenario 1,2020-01-03,0
Hefei,Scenario 1,2020-01-04,0
Hefei,Scenario 1,2020-01-05,0
Hefei,Scenario 1,2020-01-06,0
Hefei,Scenario 1,2020-01-07,0
Hefei,Scenario 1,2020-01-08,0
Hefei,Scenario 1,2020-01-09,0
