Province,Date,NumberCases,Category,TimePeriod,InflectionPoint
Beijing,1.381725037,18.31298119,Unidentified,1,2
Beijing,1.376964814,15.45560907,Confirmed,1,2
Beijing,13.79789182,3.862003872,Unidentified,2,2
Beijing,13.54297855,390.964067,Confirmed,2,2
Shanghai,1.671309987,18.78643807,Unidentified,1,5.665219037
Shanghai,1.661000095,10.98671995,Confirmed,1,5.665219037
Shanghai,12.76149428,6.199898604,Unidentified,2,5.665219037
Shanghai,12.89260377,335.2549641,Confirmed,2,5.665219037
Guangdong,1.395209571,76.5311113,Unidentified,1,8.729804883
Guangdong,1.395209571,26.66510406,Confirmed,1,8.729804883
Guangdong,14.07380208,69.09357037,Unidentified,2,8.729804883
Guangdong,14.07380208,1329.377003,Confirmed,2,8.729804883
Henan,1.368148569,33.76206116,Unidentified,1,4.995149394
Henan,1.377530234,7.06089063,Confirmed,1,4.995149394
Henan,13.64920991,14.78775482,Unidentified,2,4.995149394
Henan,13.64704088,1237.892486,Confirmed,2,4.995149394
Tianjin,1.289442002,4.377923547,Unidentified,1,1.364337543
Tianjin,1.289442002,3.883694425,Confirmed,1,1.364337543
Tianjin,13.73016986,2.786677462,Unidentified,2,1.364337543
Tianjin,14.06910156,130.4463028,Confirmed,2,1.364337543
Zhejiang,1.483872072,69.13447298,Unidentified,1,6.696284292
Zhejiang,1.495891416,12.56714544,Confirmed,1,6.696284292
Zhejiang,13.97654333,13.72159448,Unidentified,2,6.696284292
Zhejiang,13.69748245,1192.163656,Confirmed,2,6.696284292
Hunan,1.403629754,34.16621252,Unidentified,1,4.98179122
Hunan,1.411183913,6.519724569,Confirmed,1,4.98179122
Hunan,13.693825,10.46556901,Unidentified,2,4.98179122
Hunan,14.0425565,1046.556901,Confirmed,2,4.98179122
Shanxi,1.322812633,4.02156974,Unidentified,1,5.711691214
Shanxi,1.356513239,1.134867228,Confirmed,1,5.711691214
Shanxi,11.01255198,7.475261222,Unidentified,2,5.711691214
Shanxi,11.21615329,127.1732015,Confirmed,2,5.711691214
Jiangsu,1.403899846,17.18725936,Unidentified,1,3.504423365
Jiangsu,1.40533613,2.299533606,Confirmed,1,3.504423365
Jiangsu,14.26259373,7.826986663,Unidentified,2,3.504423365
Jiangsu,14.36905551,650.2917856,Confirmed,2,3.504423365
Chongqing,1.382508468,29.0306756,Unidentified,1,2.925939119
Chongqing,1.410532629,8.539423877,Confirmed,1,2.925939119
Chongqing,13.84166884,5.531681198,Unidentified,2,2.925939119
Chongqing,13.7862258,575.4399373,Confirmed,2,2.925939119
Jiangxi,1.396871328,21.96481922,Unidentified,1,5.925804242
Jiangxi,1.418141289,3.606970747,Confirmed,1,5.925804242
Jiangxi,14.04978632,9.444206631,Unidentified,2,5.925804242
Jiangxi,13.78687525,914.5281967,Confirmed,2,5.925804242
Sichuan,1.38560973,22.14934178,Unidentified,1,2.841353846
Sichuan,1.393206808,7.087865438,Confirmed,1,2.841353846
Sichuan,13.80484285,7.258129995,Unidentified,2,2.841353846
Sichuan,13.86431587,484.8049108,Confirmed,2,2.841353846
Anhui,1.398027201,21.78102391,Unidentified,1,5.02599910
Anhui,1.422542713,2.58708911,Confirmed,1,5.02599910
Anhui,14.07272764,12.68244089,Unidentified,2,5.02599910
Anhui,14.1723684,1041.822168,Confirmed,2,5.02599910
Fujian,1.357435018,16.39863027,Unidentified,1,3.471660115
Fujian,1.363856686,1.999002392,Confirmed,1,3.471660115
Fujian,13.85770387,2.012894187,Unidentified,2,3.471660115
Fujian,13.8317349,295.4567241,Confirmed,2,3.471660115
