date,origin_city,destination_country,daily_volume
12/1/19,Beijing,Algeria,42.4116041
12/1/19,Beijing,Angola,8.590328748
12/1/19,Beijing,Argentina,33.31987615
12/1/19,Beijing,Australia,855.7150464
12/1/19,Beijing,Brazil,72.13785112
12/1/19,Beijing,Cambodia,268.2529327
12/1/19,Beijing,Canada,714.3743734
12/1/19,Beijing,Chile,16.26708889
12/1/19,Beijing,Congo (Kinshasa),8.54334471
12/1/19,Beijing,Cote D'Ivoire,13.12013652
12/1/19,Beijing,Egypt,128.7943117
12/1/19,Beijing,Equatorial Guinea,3.017292378
12/1/19,Beijing,Ethiopia,48.48009101
12/1/19,Beijing,Gabon,4.508987486
12/1/19,Beijing,Germany,548.5266599
12/1/19,Beijing,Ghana,19.90056883
12/1/19,Beijing,Guinea,33.7665529
12/1/19,Beijing,Hong Kong (SAR),1717.775513
12/1/19,Beijing,Indonesia,653.8358514
12/1/19,Beijing,Japan,3545.600807
12/1/19,Beijing,Kenya,32.13924915
12/1/19,Beijing,Korea (South),2124.473005
12/1/19,Beijing,Macao (SAR),575.8442701
12/1/19,Beijing,Madagascar,1.220477816
12/1/19,Beijing,Malaysia,744.779874
12/1/19,Beijing,Mauritania,9.86552901
12/1/19,Beijing,Mauritius,15.39158134
12/1/19,Beijing,Morocco,37.97042093
12/1/19,Beijing,Mozambique,10.88259386
12/1/19,Beijing,Netherlands,103.0256688
12/1/19,Beijing,New Zealand,288.9937675
12/1/19,Beijing,Nigeria,44.68304892
12/1/19,Beijing,Philippines,424.7952688
12/1/19,Beijing,Russia,817.0117448
12/1/19,Beijing,Senegal,12.40819113
12/1/19,Beijing,Seychelles,1.491695108
12/1/19,Beijing,Singapore,1153.581113
12/1/19,Beijing,South Africa,70.6182025
12/1/19,Beijing,Spain,177.0037648
12/1/19,Beijing,Sudan,10.30625711
12/1/19,Beijing,Sweden,65.70470661
12/1/19,Beijing,Taiwan,708.8263936
12/1/19,Beijing,Tanzania,16.88327645
12/1/19,Beijing,Thailand,2598.366853
12/1/19,Beijing,Tunisia,16.44254835
12/1/19,Beijing,Uganda,15.8662116
12/1/19,Beijing,United Arab Emirates,762.5476068
12/1/19,Beijing,United Kingdom,779.4094273
12/1/19,Beijing,United States,2400.418071
12/1/19,Beijing,Viet Nam,519.1701934
12/1/19,Beijing,Zambia,27.86757679
12/1/19,Beijing,Zimbabwe,8.373833902
12/1/19,Changsha,Algeria,0.075
12/1/19,Changsha,Argentina,0.025
12/1/19,Changsha,Australia,67.55
12/1/19,Changsha,Brazil,0.275
12/1/19,Changsha,Cambodia,127.775
12/1/19,Changsha,Canada,15.1
12/1/19,Changsha,Chile,0.025
12/1/19,Changsha,Congo (Kinshasa),0.1
12/1/19,Changsha,Cote D'Ivoire,0.05
12/1/19,Changsha,Egypt,1.45
12/1/19,Changsha,Ethiopia,0.175
12/1/19,Changsha,Germany,14.875
12/1/19,Changsha,Ghana,0.05
12/1/19,Changsha,Hong Kong (SAR),27.25
12/1/19,Changsha,Indonesia,173.95
12/1/19,Changsha,Japan,233.15
12/1/19,Changsha,Kenya,6.375
12/1/19,Changsha,Korea (South),315.3
12/1/19,Changsha,Macao (SAR),70.475
12/1/19,Changsha,Malaysia,201.15
12/1/19,Changsha,Mauritius,0.15
12/1/19,Changsha,Mozambique,0.15
12/1/19,Changsha,Netherlands,1.575
12/1/19,Changsha,New Zealand,10
12/1/19,Changsha,Nigeria,0.05
12/1/19,Changsha,Philippines,61.05
12/1/19,Changsha,Russia,8.125
12/1/19,Changsha,Singapore,165.45
12/1/19,Changsha,South Africa,3.9
12/1/19,Changsha,Spain,2.75
12/1/19,Changsha,Sweden,0.675
12/1/19,Changsha,Taiwan,198.95
12/1/19,Changsha,Tanzania,0.15
12/1/19,Changsha,Thailand,794.85
12/1/19,Changsha,Tunisia,0.05
12/1/19,Changsha,Uganda,0.325
12/1/19,Changsha,United Arab Emirates,13.55
12/1/19,Changsha,United Kingdom,33.225
12/1/19,Changsha,United States,62.825
12/1/19,Changsha,Viet Nam,148.4
12/1/19,Changsha,Zambia,0.025
12/1/19,Changsha,Zimbabwe,0.15
12/1/19,Chengdu,Algeria,0.588235294
12/1/19,Chengdu,Angola,1.970588235
12/1/19,Chengdu,Argentina,0.882352941
12/1/19,Chengdu,Australia,168.9411765
12/1/19,Chengdu,Brazil,2.970588235
12/1/19,Chengdu,Cambodia,228.9705882
12/1/19,Chengdu,Canada,70.61764706
12/1/19,Chengdu,Chile,0.411764706
12/1/19,Chengdu,Congo (Kinshasa),7.823529412
12/1/19,Chengdu,Cote D'Ivoire,1.941176471
12/1/19,Chengdu,Egypt,52.76470588
12/1/19,Chengdu,Equatorial Guinea,1
12/1/19,Chengdu,Ethiopia,37.64705882
12/1/19,Chengdu,Gabon,1.588235294
12/1/19,Chengdu,Germany,48.41176471
12/1/19,Chengdu,Ghana,2.176470588
12/1/19,Chengdu,Guinea,3.411764706
12/1/19,Chengdu,Hong Kong (SAR),473.9705882
12/1/19,Chengdu,Indonesia,143.1176471
12/1/19,Chengdu,Japan,560.3823529
12/1/19,Chengdu,Kenya,6.441176471
12/1/19,Chengdu,Korea (South),311.0882353
12/1/19,Chengdu,Macao (SAR),122.2352941
12/1/19,Chengdu,Madagascar,0.441176471
12/1/19,Chengdu,Malaysia,313.7058824
12/1/19,Chengdu,Mauritius,0.882352941
12/1/19,Chengdu,Morocco,9.852941176
12/1/19,Chengdu,Mozambique,2.294117647
