date,province_raw,n,province
0,Hubei,0,1
1,Hubei,0,1
2,Hubei,0,1
3,Hubei,0,1
4,Hubei,0,1
5,Hubei,0,1
6,Hubei,0,1
7,Hubei,0,1
8,Hubei,0,1
9,Hubei,0,1
10,Hubei,0,1
11,Hubei,0,1
12,Hubei,0,1
13,Hubei,0,1
14,Hubei,0,1
15,Hubei,0,1
16,Hubei,0,1
17,Hubei,0,1
18,Hubei,0,1
19,Hubei,0,1
20,Hubei,0,1
21,Hubei,0,1
22,Hubei,0,1
23,Hubei,0,1
24,Hubei,0,1
25,Hubei,0,1
26,Hubei,0,1
27,Hubei,0,1
28,Hubei,0,1
29,Hubei,0,1
30,Hubei,0,1
31,Hubei,0,1
32,Hubei,0,1
33,Hubei,0,1
34,Hubei,0,1
35,Hubei,0,1
36,Hubei,0,1
37,Hubei,0,1
38,Hubei,0,1
39,Hubei,0,1
40,Hubei,0,1
41,Hubei,0,1
42,Hubei,0,1
43,Hubei,0,1
44,Hubei,0,1
45,Hubei,0,1
46,Hubei,0,1
47,Hubei,0,1
48,Hubei,0,1
49,Hubei,0,1
50,Hubei,0,1
51,Hubei,0,1
52,Hubei,0,1
53,Hubei,0,1
54,Hubei,0,1
55,Hubei,0,1
56,Hubei,0,1
57,Hubei,0,1
58,Hubei,0,1
59,Hubei,0,1
60,Hubei,0,1
61,Hubei,0,1
62,Hubei,0,1
63,Hubei,0,1
64,Hubei,0,1
65,Hubei,0,1
66,Hubei,0,1
67,Hubei,0,1
68,Hubei,0,1
69,Hubei,0,1
70,Hubei,0,1
71,Hubei,0,1
72,Hubei,0,1
73,Hubei,0,1
74,Hubei,0,1
75,Hubei,0,1
76,Hubei,4,1
77,Hubei,17,1
78,Hubei,59,1
79,Hubei,77,1
80,Hubei,72,1
81,Hubei,105,1
82,Hubei,69,1
83,Hubei,105,1
84,Hubei,180,1
85,Hubei,323,1
86,Hubei,371,1
87,Hubei,1291,1
88,Hubei,840,1
89,Hubei,1032,1
90,Hubei,1220,1
91,Hubei,1347,1
92,Hubei,1921,1
93,Hubei,2103,1
94,Hubei,2345,1
95,Hubei,3156,1
96,Hubei,2987,1
97,Hubei,2987,1
98,Hubei,2841,1
99,Hubei,2147,1
100,Hubei,2618,1
101,Hubei,2097,1
102,Hubei,1638,1
103,Hubei,14840,1
104,Hubei,4823,1
105,Hubei,2420,1
106,Hubei,1843,1
107,Hubei,1933,1
108,Hubei,1807,1
109,Hubei,1693,1
110,Hubei,349,1
111,Hubei,631,1
112,Hubei,366,1
113,Hubei,630,1
114,Hubei,398,1
115,Hubei,499,1
116,Hubei,401,1
117,Hubei,409,1
118,Hubei,318,1
119,Hubei,423,1
120,Hubei,570,1
121,Hubei,196,1
122,Hubei,114,1
123,Hubei,115,1
124,Hubei,134,1
126,Hubei,74,1
127,Hubei,41,1
128,Hubei,36,1
129,Hubei,17,1
130,Hubei,13,1
131,Hubei,8,1
132,Hubei,5,1
133,Hubei,4,1
134,Hubei,4,1
135,Hubei,4,1
136,Hubei,1,1
137,Hubei,1,1
138,Hubei,0,1
139,Hubei,0,1
140,Hubei,0,1
141,Hubei,0,1
142,Hubei,0,1
143,Hubei,1,1
144,Hubei,0,1
145,Hubei,0,1
146,Hubei,0,1
147,Hubei,0,1
148,Hubei,0,1
149,Hubei,0,1
150,Hubei,0,1
151,Hubei,1,1
152,Hubei,0,1
153,Hubei,0,1
154,Hubei,1,1
155,Hubei,0,1
156,Hubei,0,1
157,Hubei,0,1
158,Hubei,0,1
159,Hubei,0,1
160,Hubei,0,1
161,Hubei,0,1
162,Hubei,0,1
163,Hubei,0,1
164,Hubei,0,1
165,Hubei,0,1
166,Hubei,0,1
167,Hubei,0,1
168,Hubei,0,1
169,Hubei,0,1
170,Hubei,0,1
171,Hubei,0,1
172,Hubei,0,1
173,Hubei,0,1
174,Hubei,0,1
175,Hubei,0,1
176,Hubei,0,1
177,Hubei,0,1
178,Hubei,0,1
179,Hubei,0,1
180,Hubei,0,1
181,Hubei,0,1
182,Hubei,0,1
183,Hubei,0,1
184,Hubei,0,1
185,Hubei,0,1
186,Hubei,0,1
187,Hubei,0,1
188,Hubei,0,1
189,Hubei,0,1
190,Hubei,1,1
191,Hubei,5,1
192,Hubei,0,1
193,Hubei,0,1
194,Hubei,0,1
195,Hubei,0,1
196,Hubei,0,1
197,Hubei,0,1
198,Hubei,0,1
199,Hubei,1,1
200,Hubei,0,1
201,Hubei,0,1
202,Hubei,0,1
203,Hubei,0,1
204,Hubei,0,1
205,Hubei,0,1
206,Hubei,0,1
207,Hubei,0,1
208,Hubei,0,1
209,Hubei,0,1
210,Hubei,0,1
211,Hubei,0,1
212,Hubei,0,1
213,Hubei,0,1
214,Hubei,0,1
215,Hubei,0,1
216,Hubei,0,1
217,Hubei,0,1
218,Hubei,0,1
219,Hubei,0,1
220,Hubei,0,1
221,Hubei,0,1
222,Hubei,0,1
223,Hubei,0,1
224,Hubei,0,1
225,Hubei,0,1
226,Hubei,0,1
227,Hubei,0,1
228,Hubei,0,1
0,Guangdong,0,2
1,Guangdong,0,2
2,Guangdong,0,2
3,Guangdong,0,2
4,Guangdong,0,2
5,Guangdong,0,2
6,Guangdong,0,2
7,Guangdong,0,2
8,Guangdong,0,2
9,Guangdong,0,2
10,Guangdong,0,2
11,Guangdong,0,2
12,Guangdong,0,2
13,Guangdong,0,2
14,Guangdong,0,2
15,Guangdong,0,2
16,Guangdong,0,2
17,Guangdong,0,2
18,Guangdong,0,2
19,Guangdong,0,2
20,Guangdong,0,2
21,Guangdong,0,2
22,Guangdong,0,2
23,Guangdong,0,2
24,Guangdong,0,2
25,Guangdong,0,2
26,Guangdong,0,2
27,Guangdong,0,2
28,Guangdong,0,2
29,Guangdong,0,2
30,Guangdong,0,2
31,Guangdong,0,2
32,Guangdong,0,2
33,Guangdong,0,2
34,Guangdong,0,2
35,Guangdong,0,2
36,Guangdong,0,2
37,Guangdong,0,2
38,Guangdong,0,2
39,Guangdong,0,2
40,Guangdong,0,2
41,Guangdong,0,2
42,Guangdong,0,2
43,Guangdong,0,2
44,Guangdong,0,2
45,Guangdong,0,2
46,Guangdong,0,2
47,Guangdong,0,2
48,Guangdong,0,2
49,Guangdong,0,2
50,Guangdong,0,2
51,Guangdong,0,2
52,Guangdong,0,2
53,Guangdong,0,2
54,Guangdong,0,2
55,Guangdong,0,2
56,Guangdong,0,2
57,Guangdong,0,2
58,Guangdong,0,2
59,Guangdong,0,2
60,Guangdong,0,2
61,Guangdong,0,2
62,Guangdong,0,2
63,Guangdong,0,2
64,Guangdong,0,2
65,Guangdong,0,2
66,Guangdong,0,2
67,Guangdong,0,2
68,Guangdong,0,2
69,Guangdong,0,2
70,Guangdong,0,2
71,Guangdong,0,2
72,Guangdong,0,2
73,Guangdong,0,2
74,Guangdong,0,2
75,Guangdong,0,2
76,Guangdong,0,2
77,Guangdong,0,2
78,Guangdong,0,2
79,Guangdong,0,2
80,Guangdong,0,2
81,Guangdong,12,2
82,Guangdong,6,2
83,Guangdong,21,2
84,Guangdong,25,2
85,Guangdong,20,2
86,Guangdong,48,2
87,Guangdong,42,2
88,Guangdong,53,2
89,Guangdong,70,2
90,Guangdong,82,2
91,Guangdong,127,2
92,Guangdong,85,2
93,Guangdong,79,2
94,Guangdong,114,2
95,Guangdong,73,2
96,Guangdong,74,2
97,Guangdong,74,2
98,Guangdong,57,2
99,Guangdong,45,2
100,Guangdong,31,2
101,Guangdong,26,2
102,Guangdong,42,2
103,Guangdong,22,2
104,Guangdong,20,2
105,Guangdong,33,2
106,Guangdong,22,2
107,Guangdong,6,2
108,Guangdong,6,2
109,Guangdong,3,2
110,Guangdong,1,2
111,Guangdong,1,2
112,Guangdong,6,2
113,Guangdong,3,2
114,Guangdong,3,2
115,Guangdong,2,2
116,Guangdong,0,2
117,Guangdong,0,2
118,Guangdong,1,2
119,Guangdong,1,2
120,Guangdong,0,2
121,Guangdong,1,2
122,Guangdong,0,2
123,Guangdong,0,2
124,Guangdong,0,2
126,Guangdong,1,2
127,Guangdong,0,2
128,Guangdong,0,2
129,Guangdong,1,2
130,Guangdong,0,2
131,Guangdong,3,2
132,Guangdong,0,2
133,Guangdong,0,2
134,Guangdong,1,2
135,Guangdong,4,2
136,Guangdong,3,2
137,Guangdong,5,2
138,Guangdong,9,2
139,Guangdong,14,2
140,Guangdong,7,2
141,Guangdong,8,2
142,Guangdong,6,2
143,Guangdong,15,2
144,Guangdong,5,2
145,Guangdong,11,2
146,Guangdong,12,2
147,Guangdong,11,2
148,Guangdong,8,2
149,Guangdong,9,2
150,Guangdong,6,2
151,Guangdong,11,2
152,Guangdong,6,2
153,Guangdong,7,2
154,Guangdong,2,2
155,Guangdong,8,2
156,Guangdong,8,2
157,Guangdong,1,2
158,Guangdong,3,2
159,Guangdong,3,2
160,Guangdong,5,2
161,Guangdong,4,2
162,Guangdong,4,2
163,Guangdong,3,2
164,Guangdong,9,2
165,Guangdong,2,2
166,Guangdong,5,2
167,Guangdong,6,2
168,Guangdong,2,2
169,Guangdong,1,2
170,Guangdong,1,2
171,Guangdong,1,2
172,Guangdong,0,2
173,Guangdong,2,2
174,Guangdong,1,2
175,Guangdong,0,2
176,Guangdong,1,2
177,Guangdong,1,2
178,Guangdong,0,2
179,Guangdong,1,2
180,Guangdong,0,2
181,Guangdong,0,2
182,Guangdong,0,2
183,Guangdong,0,2
184,Guangdong,0,2
185,Guangdong,0,2
