"","cities","day1","day2","day3","day4","day5","day6","day7","day8","day9","day10","day11","day12","day13","day14","day15","day16","day17","day18","day19","day20","day21","day22","day23","day24","day25","day26","day27","day28","day29","day30","day31","day32","day33","day34","day35","day36","day37","day38","day39","day40","day41","day42","day43","day44","day45","day46","day47","day48","day49","day50","day51","day52","day53","day54","day55","day56","day57","day58","day59","day60","day61","day62","day63","day64","day65","day66","day67","day68","day69","day70","day71","day72","day73","day74","day75","day76","day77","day78","day79","day80","day81","day82","day83","day84","day85","day86","day87","day88","day89","day90","day91","day92","day93","day94","day95","day96","day97","day98","day99","day100","day101","day102","day103","day104","day105","day106","day107","day108","day109","day110","day111","day112","day113","day114","day115","day116","day117","day118","day119","day120","day121","day122","day123","day124","Scenario"
"1","Hefei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71625053679745e-10,6.00413893732116e-10,1.48639852319616e-09,3.05389779550822e-09,5.46131380338967e-09,8.90284949830188e-09,1.36457008683522e-08,2.00221189835037e-08,2.85378090942751e-08,3.97922534689694e-08,5.45496983828248e-08,7.3885726199243e-08,9.90820968728723e-08,1.31909000220569e-07,1.74637647751545e-07,2.30396146315457e-07,3.02675222678465e-07,3.96652328261273e-07,5.19016774085717e-07,6.78524927676106e-07,8.86225698331322e-07,1.15699504305813e-06,1.51150105057019e-06,1.97950798293489e-06,2.60113446910637e-06,3.57004940885606e-06,5.14031118446996e-06,7.34068330795672e-06,1.01948551587574e-05,1.41343256064063e-05,1.98565230442356e-05,2.82893373893728e-05,4.02768618935736e-05,5.46789061792162e-05,7.36546594219757e-05,9.50979686584413e-05,0.000122176413633378,0.000155498561361083,0.000199276290080226,0.000252796308704396,0.000321505895082026,0.000410496624647713,0.000512328544419148,0.000637598384019527,0.000799900170042975,0.000985046289705207,0.00117485730236436,0.00132032362355057,0.00144341221430741,0.00154846638126723,0.00163672560081926,0.00171058329814662,0.00176949659124436,0.00181168895107995,0.00183905791024788,0.00185271222109172,0.00185576777005112,0.00184924787680193,0.00183462631169268,0.00181206384435687,0.00178245167401185,0.00174627437584843,0.00170367761866929,0.00165549046155109,0.00160164320133403,0.00154254538634325,0.0014784460994617,0.00140963333949988,0.00133821214850256,0.00126401534775008,0.00118649374557521,0.00110913764312827,0.00103117097830616,0.000952699183890606,0.000875463213545366,0.000800160072285767,0.000727422040357939,0.000657770402859902,0.000591657236000478,0.000529427975001605,0.000471350044775002,0.000417521780591761,0.000368049769883716,0.000322296468984724,0.000280870968665551,0.000243905511883662,0.000210767190450874,"Lower"
"2","Beijing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2190615209622e-11,1.14410704600605e-10,2.89402651336989e-10,6.06667087236527e-10,1.10829778480929e-09,1.84058176993809e-09,2.86645667032496e-09,4.25886441764429e-09,6.12685000989535e-09,8.60851018141872e-09,1.1880549606324e-08,1.61445102748605e-08,2.17346798618681e-08,2.90003753415705e-08,3.84445517135917e-08,5.07489748266778e-08,6.67791624773407e-08,8.75720553242615e-08,1.14604130422775e-07,1.49832007419499e-07,1.95778535317183e-07,2.55873520235781e-07,3.34684069784084e-07,4.38689585924699e-07,5.76859975445888e-07,8.02582188688602e-07,1.15631185302597e-06,1.64304427710076e-06,2.4289681809673e-06,3.51116046092476e-06,5.02115008796107e-06,7.13332286090902e-06,9.80623420269085e-06,1.31000558822932e-05,1.69580915522423e-05,2.14676112120038e-05,2.71795979216901e-05,3.39632609528867e-05,4.21483657764868e-05,5.19802742088041e-05,6.31444225929004e-05,7.53054882673628e-05,8.85166018282172e-05,0.000102680086900953,0.000118550849611647,0.00013516106513486,0.000151832892043452,0.00016562043977395,0.00017772813040101,0.000187569869563601,0.000195937521651006,0.000202557036172262,0.00020720105030111,0.000210283141151972,0.000211877865808353,0.000212163498728566,0.000211241392333967,0.000209262880905402,0.000206382253305167,0.000202898168708719,0.000198625531072592,0.000193540382809885,0.00018780803694131,0.000181475426616941,0.000174520257950592,0.00016705767937312,0.000159168231824255,0.000150991982478008,0.000142594725804105,0.000133911637644123,0.00012509855273366,0.000116311651947514,0.000107575994329025,9.89469999393449e-05,9.0550462058164e-05,8.24846402183332e-05,7.46231490620005e-05,6.71932246799381e-05,6.02109126810258e-05,5.3687094759996e-05,4.76198700023993e-05,4.20359656996734e-05,3.69281275426358e-05,3.22869488617763e-05,2.80920808396096e-05,2.43339105411287e-05,2.0985588497444e-05,"Lower"
"3","Chongqing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33865526579897e-11,1.16899104249939e-10,2.89107407691733e-10,5.93312540923872e-10,1.05990094815704e-09,1.72543805759319e-09,2.64227296711852e-09,3.87942715978164e-09,5.52254319236961e-09,7.6891164029139e-09,1.05388530169459e-08,1.42580665156501e-08,1.91190954386145e-08,2.54671307295663e-08,3.3707337688412e-08,4.44179895440634e-08,5.83589680849928e-08,7.64878606597424e-08,1.00087432116201e-07,1.3081359994222e-07,1.70997966464762e-07,2.23571005416394e-07,2.92608315951774e-07,3.83813132603854e-07,5.0520477407544e-07,6.98050159368133e-07,1.01611961671619e-06,1.4825167416595e-06,2.10193395547439e-06,3.00640665566553e-06,4.33307754183721e-06,6.29084837890222e-06,9.3275027280018e-06,1.2954505327949e-05,1.75292309273661e-05,2.31704482153084e-05,3.00093880661859e-05,3.86109532018653e-05,5.00910571322451e-05,6.39738893752646e-05,8.07741284430102e-05,0.000102390513177681,0.000127915731023021,0.000158893180782372,0.000198682660364884,0.000241557644823295,0.000286525309883486,0.000322398130294485,0.000351064552894232,0.000375179305485653,0.000396282615637008,0.000412953919984307,0.000426514705515921,0.000436066598546529,0.000442418792134538,0.000445398162534933,0.000445869844146788,0.000444251628390774,0.000440574209808717,0.000434963808864061,0.000427578370009295,0.000418542282257828,0.000407963728263375,0.000395752198932253,0.000382429363845846,0.000367942226644101,0.000352342595137794,0.000335833430875247,0.000318325938349608,0.00030040338971385,0.000282041094235955,0.00026341343308162,0.000244675672286474,0.000226008442906274,0.000207639048788599,0.000189834963149207,0.000172585953868664,0.000156202622472963,0.000140480103187718,0.000125699309001872,0.000111956440688929,9.9166390380665e-05,8.73542288776192e-05,7.65571317029001e-05,6.6800462497719e-05,5.8017418647573e-05,5.01621492995321e-05,"Lower"
"4","Fuzhou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50610641657269e-10,5.19741240144858e-10,1.26014129238094e-09,2.53100390625301e-09,4.42908266704266e-09,7.0688921843777e-09,1.06250802461197e-08,1.53304252719324e-08,2.15371231209177e-08,2.97137225333324e-08,4.03876039833975e-08,5.43061571036343e-08,7.2421276573975e-08,9.59547172213877e-08,1.26572177208973e-07,1.66457285178763e-07,2.18395502241647e-07,2.86158609135491e-07,3.74151484014874e-07,4.89058979249951e-07,6.39450367114826e-07,8.36659304539251e-07,1.09585267373069e-06,1.4428212760212e-06,1.91166730330994e-06,2.7835899123369e-06,4.17399629946593e-06,6.19325564879476e-06,8.67868192766255e-06,1.22950041581578e-05,1.75055559581389e-05,2.56764151710324e-05,3.73207312721185e-05,5.03489358207002e-05,6.73169437993226e-05,8.73311334508173e-05,0.000112733514657541,0.000143385800758804,0.000182904616785489,0.000233954111265644,0.000297571119489661,0.00037627829369755,0.000471992787064438,0.000582141443079425,0.000719123500254055,0.000866267903365276,0.00101474259698117,0.00111709689014921,0.00118975786114195,0.00124248607520023,0.00128416025157771,0.00131911409403766,0.00134567011300474,0.00136391113233936,0.00137422161131262,0.0013769472362899,0.00137232992524897,0.00136107477863644,0.00134396825040498,0.00132136176152739,0.00129313828426452,0.00125989711978427,0.00122202741678472,0.00117988370124382,0.00113385528311034,0.00108446848027401,0.00103324307675857,0.000978930876027979,0.000921880533741884,0.000863648394267529,0.000805531047005488,0.000747271198967142,0.000689326113142468,0.000632669335551556,0.000577599585994743,0.000524607760977418,0.000474036119040411,0.000426167552400811,0.000381217607310275,0.000339518674873857,0.000300778287396477,0.000264985071241015,0.000232560729519128,0.0002029585378807,0.000176427120077478,0.000152735289564851,0.000131549724013881,"Lower"
"5","Guangzhou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32174296893985e-11,8.32900628842457e-11,2.1334443399011e-10,4.51772945340509e-10,8.34512289241213e-10,1.39998830973213e-09,2.20030529683992e-09,3.29702078595264e-09,4.77844038772288e-09,6.74900977875668e-09,9.34229445284461e-09,1.27472923143903e-08,1.71887075613695e-08,2.29771416190941e-08,3.05300965506825e-08,4.03618707419707e-08,5.31276969984668e-08,6.9719327477722e-08,9.13700822951111e-08,1.19583854238596e-07,1.56261335871273e-07,2.03934635337604e-07,2.66302575975358e-07,3.48157124220155e-07,4.56504030679198e-07,6.2734372549815e-07,8.86464432482147e-07,1.24860656290556e-06,1.76390498443634e-06,2.4442958003094e-06,3.39078617651004e-06,4.72869647815521e-06,6.55615017664612e-06,8.76725001723492e-06,1.14889080347942e-05,1.47151106305051e-05,1.86862063962781e-05,2.32485346019525e-05,2.86493631007187e-05,3.51165937588236e-05,4.28331053915139e-05,5.21703346988886e-05,6.33517410857347e-05,7.65428806496966e-05,9.3542097959938e-05,0.000113251285452202,0.000134873287827124,0.000155675890963955,0.000174041905867288,0.000189793613442475,0.000203848370450791,0.000215673301054186,0.000225268306919677,0.000232220204405685,0.000237475737969909,0.000240783785382671,0.00024227001873716,0.000242365703134896,0.000241195258823978,0.00023874255947393,0.000235384428625673,0.000231292287485626,0.000226383380032259,0.000220701133795314,0.000214283235053651,0.000207157193089363,0.000199290189775078,0.000190752954234529,0.00018175809022535,0.000172417846784951,0.000162702819155439,0.00015268319176697,0.000142584669186374,0.000132435015369711,0.000122337976572257,0.000112392081353316,0.000102709832251809,9.33262764371779e-05,8.43463037196351e-05,7.58252803274042e-05,6.77950930662172e-05,6.03320480077325e-05,5.33526639395318e-05,4.69688607410658e-05,4.1149796755127e-05,3.58527177650405e-05,3.10659539156844e-05,"Lower"
"6","Guangzhou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32174296893985e-11,8.32900628842457e-11,2.1334443399011e-10,4.51772945340509e-10,8.34512289241213e-10,1.39998830973213e-09,2.20030529683992e-09,3.29702078595264e-09,4.77844038772288e-09,6.74900977875668e-09,9.34229445284461e-09,1.27472923143903e-08,1.71887075613695e-08,2.29771416190941e-08,3.05300965506825e-08,4.03618707419707e-08,5.31276969984668e-08,6.9719327477722e-08,9.13700822951111e-08,1.19583854238596e-07,1.56261335871273e-07,2.03934635337604e-07,2.66302575975358e-07,3.48157124220155e-07,4.56504030679198e-07,6.2734372549815e-07,8.86464432482147e-07,1.24860656290556e-06,1.76390498443634e-06,2.4442958003094e-06,3.39078617651004e-06,4.72869647815521e-06,6.55615017664612e-06,8.76725001723492e-06,1.14889080347942e-05,1.47151106305051e-05,1.86862063962781e-05,2.32485346019525e-05,2.86493631007187e-05,3.51165937588236e-05,4.28331053915139e-05,5.21703346988886e-05,6.33517410857347e-05,7.65428806496966e-05,9.3542097959938e-05,0.000113251285452202,0.000134873287827124,0.000155675890963955,0.000174041905867288,0.000189793613442475,0.000203848370450791,0.000215673301054186,0.000225268306919677,0.000232220204405685,0.000237475737969909,0.000240783785382671,0.00024227001873716,0.000242365703134896,0.000241195258823978,0.00023874255947393,0.000235384428625673,0.000231292287485626,0.000226383380032259,0.000220701133795314,0.000214283235053651,0.000207157193089363,0.000199290189775078,0.000190752954234529,0.00018175809022535,0.000172417846784951,0.000162702819155439,0.00015268319176697,0.000142584669186374,0.000132435015369711,0.000122337976572257,0.000112392081353316,0.000102709832251809,9.33262764371779e-05,8.43463037196351e-05,7.58252803274042e-05,6.77950930662172e-05,6.03320480077325e-05,5.33526639395318e-05,4.69688607410658e-05,4.1149796755127e-05,3.58527177650405e-05,3.10659539156844e-05,"Lower"
"7","Guangzhou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32174296893985e-11,8.32900628842457e-11,2.1334443399011e-10,4.51772945340509e-10,8.34512289241213e-10,1.39998830973213e-09,2.20030529683992e-09,3.29702078595264e-09,4.77844038772288e-09,6.74900977875668e-09,9.34229445284461e-09,1.27472923143903e-08,1.71887075613695e-08,2.29771416190941e-08,3.05300965506825e-08,4.03618707419707e-08,5.31276969984668e-08,6.9719327477722e-08,9.13700822951111e-08,1.19583854238596e-07,1.56261335871273e-07,2.03934635337604e-07,2.66302575975358e-07,3.48157124220155e-07,4.56504030679198e-07,6.2734372549815e-07,8.86464432482147e-07,1.24860656290556e-06,1.76390498443634e-06,2.4442958003094e-06,3.39078617651004e-06,4.72869647815521e-06,6.55615017664612e-06,8.76725001723492e-06,1.14889080347942e-05,1.47151106305051e-05,1.86862063962781e-05,2.32485346019525e-05,2.86493631007187e-05,3.51165937588236e-05,4.28331053915139e-05,5.21703346988886e-05,6.33517410857347e-05,7.65428806496966e-05,9.3542097959938e-05,0.000113251285452202,0.000134873287827124,0.000155675890963955,0.000174041905867288,0.000189793613442475,0.000203848370450791,0.000215673301054186,0.000225268306919677,0.000232220204405685,0.000237475737969909,0.000240783785382671,0.00024227001873716,0.000242365703134896,0.000241195258823978,0.00023874255947393,0.000235384428625673,0.000231292287485626,0.000226383380032259,0.000220701133795314,0.000214283235053651,0.000207157193089363,0.000199290189775078,0.000190752954234529,0.00018175809022535,0.000172417846784951,0.000162702819155439,0.00015268319176697,0.000142584669186374,0.000132435015369711,0.000122337976572257,0.000112392081353316,0.000102709832251809,9.33262764371779e-05,8.43463037196351e-05,7.58252803274042e-05,6.77950930662172e-05,6.03320480077325e-05,5.33526639395318e-05,4.69688607410658e-05,4.1149796755127e-05,3.58527177650405e-05,3.10659539156844e-05,"Lower"
"8","Dongguan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21312510351899e-11,1.15267450147268e-10,2.95253335843065e-10,6.252212286992e-10,1.15490492342501e-09,1.93748302151096e-09,3.04506410884508e-09,4.56283938226186e-09,6.61301744890055e-09,9.34014360509517e-09,1.29290628775363e-08,1.76413347580696e-08,2.3787933677991e-08,3.17987096466297e-08,4.22514554591929e-08,5.5857923052194e-08,7.35249074516941e-08,9.64865294375889e-08,1.26449615250509e-07,1.65495444228711e-07,2.16254438029659e-07,2.822308520135e-07,3.68543591364426e-07,4.81824392607751e-07,6.31768710169801e-07,8.68198547341204e-07,1.22680294911615e-06,1.72798158338876e-06,2.44111749730101e-06,3.38272939833059e-06,4.69260393168518e-06,6.54417545962038e-06,9.07323980166552e-06,1.21332427818519e-05,1.58998215187767e-05,2.03646536246537e-05,2.58603642455883e-05,3.21742979946109e-05,3.96486557772514e-05,4.85988373674612e-05,5.92779338782671e-05,7.21999869591635e-05,8.76742483372986e-05,0.000105929835731773,0.000129455528545501,0.000156731624973295,0.000186654919476016,0.000215444224429964,0.000240861466703104,0.000262660695864218,0.000282111467621223,0.000298476320181317,0.000311755117458735,0.000321376043042751,0.00032864932309722,0.000333227422537069,0.00033528426249088,0.000335416682808071,0.00033379687215375,0.000330402512847637,0.00032575510153907,0.000320091872835408,0.000313298298361284,0.000305434478691082,0.000296552568921329,0.000286690639917775,0.000275803273755044,0.000263988354447884,0.000251540110289389,0.000238613885865404,0.000225168987108148,0.000211302544215679,0.000197326916057761,0.000183280525950574,0.00016930695124169,0.000155542548363132,0.000142143012728581,0.000129156847097151,0.000116729211414107,0.000104936728552944,9.38235275569438e-05,8.34952105352452e-05,7.38362455005084e-05,6.50015215076617e-05,5.69483559237294e-05,4.96175799911369e-05,4.29930434706253e-05,"Lower"
"9","Dongguan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21312510351899e-11,1.15267450147268e-10,2.95253335843065e-10,6.252212286992e-10,1.15490492342501e-09,1.93748302151096e-09,3.04506410884508e-09,4.56283938226186e-09,6.61301744890055e-09,9.34014360509517e-09,1.29290628775363e-08,1.76413347580696e-08,2.3787933677991e-08,3.17987096466297e-08,4.22514554591929e-08,5.5857923052194e-08,7.35249074516941e-08,9.64865294375889e-08,1.26449615250509e-07,1.65495444228711e-07,2.16254438029659e-07,2.822308520135e-07,3.68543591364426e-07,4.81824392607751e-07,6.31768710169801e-07,8.68198547341204e-07,1.22680294911615e-06,1.72798158338876e-06,2.44111749730101e-06,3.38272939833059e-06,4.69260393168518e-06,6.54417545962038e-06,9.07323980166552e-06,1.21332427818519e-05,1.58998215187767e-05,2.03646536246537e-05,2.58603642455883e-05,3.21742979946109e-05,3.96486557772514e-05,4.85988373674612e-05,5.92779338782671e-05,7.21999869591635e-05,8.76742483372986e-05,0.000105929835731773,0.000129455528545501,0.000156731624973295,0.000186654919476016,0.000215444224429964,0.000240861466703104,0.000262660695864218,0.000282111467621223,0.000298476320181317,0.000311755117458735,0.000321376043042751,0.00032864932309722,0.000333227422537069,0.00033528426249088,0.000335416682808071,0.00033379687215375,0.000330402512847637,0.00032575510153907,0.000320091872835408,0.000313298298361284,0.000305434478691082,0.000296552568921329,0.000286690639917775,0.000275803273755044,0.000263988354447884,0.000251540110289389,0.000238613885865404,0.000225168987108148,0.000211302544215679,0.000197326916057761,0.000183280525950574,0.00016930695124169,0.000155542548363132,0.000142143012728581,0.000129156847097151,0.000116729211414107,0.000104936728552944,9.38235275569438e-05,8.34952105352452e-05,7.38362455005084e-05,6.50015215076617e-05,5.69483559237294e-05,4.96175799911369e-05,4.29930434706253e-05,"Lower"
"10","Dongguan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21312510351899e-11,1.15267450147268e-10,2.95253335843065e-10,6.252212286992e-10,1.15490492342501e-09,1.93748302151096e-09,3.04506410884508e-09,4.56283938226186e-09,6.61301744890055e-09,9.34014360509517e-09,1.29290628775363e-08,1.76413347580696e-08,2.3787933677991e-08,3.17987096466297e-08,4.22514554591929e-08,5.5857923052194e-08,7.35249074516941e-08,9.64865294375889e-08,1.26449615250509e-07,1.65495444228711e-07,2.16254438029659e-07,2.822308520135e-07,3.68543591364426e-07,4.81824392607751e-07,6.31768710169801e-07,8.68198547341204e-07,1.22680294911615e-06,1.72798158338876e-06,2.44111749730101e-06,3.38272939833059e-06,4.69260393168518e-06,6.54417545962038e-06,9.07323980166552e-06,1.21332427818519e-05,1.58998215187767e-05,2.03646536246537e-05,2.58603642455883e-05,3.21742979946109e-05,3.96486557772514e-05,4.85988373674612e-05,5.92779338782671e-05,7.21999869591635e-05,8.76742483372986e-05,0.000105929835731773,0.000129455528545501,0.000156731624973295,0.000186654919476016,0.000215444224429964,0.000240861466703104,0.000262660695864218,0.000282111467621223,0.000298476320181317,0.000311755117458735,0.000321376043042751,0.00032864932309722,0.000333227422537069,0.00033528426249088,0.000335416682808071,0.00033379687215375,0.000330402512847637,0.00032575510153907,0.000320091872835408,0.000313298298361284,0.000305434478691082,0.000296552568921329,0.000286690639917775,0.000275803273755044,0.000263988354447884,0.000251540110289389,0.000238613885865404,0.000225168987108148,0.000211302544215679,0.000197326916057761,0.000183280525950574,0.00016930695124169,0.000155542548363132,0.000142143012728581,0.000129156847097151,0.000116729211414107,0.000104936728552944,9.38235275569438e-05,8.34952105352452e-05,7.38362455005084e-05,6.50015215076617e-05,5.69483559237294e-05,4.96175799911369e-05,4.29930434706253e-05,"Lower"
