"date","prevalence","destination_country","daily_volume"
2019-12-08,2.988931e-08,"United States",0.0317286726616367
2019-12-08,2.988931e-08,"Japan",6.50437789563552
2019-12-08,2.988931e-08,"New Zealand",5.10831629852351
2019-12-08,2.988931e-08,"United States",0.0634573453232734
2019-12-08,2.988931e-08,"United States",0.0951860179849101
2019-12-08,2.988931e-08,"United States",0.0634573453232734
2019-12-08,2.988931e-08,"New Zealand",0.158643363308183
2019-12-08,2.988931e-08,"Indonesia",0.0317286726616367
2019-12-08,2.988931e-08,"Germany",3.49015399278003
2019-12-08,2.988931e-08,"Morocco",2.15754974099129
2019-12-08,2.988931e-08,"United States",0.158643363308183
2019-12-08,2.988931e-08,"United States",0.0634573453232734
2019-12-08,2.988931e-08,"United Kingdom",0.126914690646547
2019-12-08,2.988931e-08,"United Arab Emirates",0.0317286726616367
2019-12-08,2.988931e-08,"United States",0.222100708631457
2019-12-08,2.988931e-08,"Angola",0.126914690646547
2019-12-08,2.988931e-08,"United States",30.300882391863
2019-12-08,2.988931e-08,"United States",0.0634573453232734
2019-12-08,2.988931e-08,"Australia",11.0733067589112
2019-12-08,2.988931e-08,"Thailand",6.50437789563552
2019-12-08,2.988931e-08,"Australia",0.57111610790946
2019-12-08,2.988931e-08,"Cambodia",45.0547151795241
2019-12-08,2.988931e-08,"Kenya",1.9037203596982
2019-12-08,2.988931e-08,"United States",0.0951860179849101
2019-12-08,2.988931e-08,"Spain",0.126914690646547
2019-12-08,2.988931e-08,"Viet Nam",4.44201417262914
2019-12-08,2.988931e-08,"United States",0.0634573453232734
2019-12-08,2.988931e-08,"United States",1.80853434171329
2019-12-08,2.988931e-08,"Indonesia",0.0951860179849101
2019-12-08,2.988931e-08,"Algeria",0.824945489202554
2019-12-08,2.988931e-08,"Canada",1.17396088848056
2019-12-08,2.988931e-08,"Canada",0.126914690646547
2019-12-08,2.988931e-08,"United States",0.158643363308183
2019-12-08,2.988931e-08,"South Africa",0.158643363308183
2019-12-08,2.988931e-08,"Thailand",6.69474993160534
2019-12-08,2.988931e-08,"Australia",83.5098664454277
2019-12-08,2.988931e-08,"New Zealand",17.2603979279304
2019-12-08,2.988931e-08,"United States",2.79212319422403
2019-12-08,2.988931e-08,"New Zealand",0.634573453232734
2019-12-08,2.988931e-08,"United States",0.888402834525827
2019-12-08,2.988931e-08,"Germany",0.729759471217644
2019-12-08,2.988931e-08,"United States",0.824945489202554
2019-12-08,2.988931e-08,"United States",1.07877487049565
2019-12-08,2.988931e-08,"United States",0.0951860179849101
2019-12-08,2.988931e-08,"Hong Kong (SAR)",104.387333056785
2019-12-08,2.988931e-08,"Thailand",6.28227718700406
2019-12-08,2.988931e-08,"United States",26.4934416724666
2019-12-08,2.988931e-08,"Thailand",206.45847300927
2019-12-08,2.988931e-08,"United States",0.539387435247824
2019-12-08,2.988931e-08,"United States",0.983588852510737
2019-12-08,2.988931e-08,"United States",0.349015399278004
2019-12-08,2.988931e-08,"Japan",0.793216816540917
2019-12-08,2.988931e-08,"Malaysia",4.12472744601277
2019-12-08,2.988931e-08,"United States",0.9518601798491
2019-12-08,2.988931e-08,"Canada",0.66630212589437
2019-12-08,2.988931e-08,"Canada",0.222100708631457
2019-12-08,2.988931e-08,"United States",0.0317286726616367
2019-12-08,2.988931e-08,"Australia",0.19037203596982
2019-12-08,2.988931e-08,"Thailand",6.53610656829716
2019-12-08,2.988931e-08,"Japan",0.824945489202554
2019-12-08,2.988931e-08,"United States",2.12582106832966
2019-12-08,2.988931e-08,"United States",0.222100708631457
2019-12-08,2.988931e-08,"Cote D'Ivoire",0.126914690646547
2019-12-08,2.988931e-08,"Germany",0.126914690646547
2019-12-08,2.988931e-08,"Japan",0.0634573453232734
2019-12-08,2.988931e-08,"United States",0.126914690646547
2019-12-08,2.988931e-08,"Indonesia",6.47264922297388
2019-12-08,2.988931e-08,"Germany",4.72757222658387
2019-12-08,2.988931e-08,"Japan",9.80415985244574
2019-12-08,2.988931e-08,"United States",1.39606159711201
2019-12-08,2.988931e-08,"United Kingdom",6.69474993160534
2019-12-08,2.988931e-08,"Indonesia",0.0951860179849101
2019-12-08,2.988931e-08,"United States",0.349015399278004
2019-12-08,2.988931e-08,"Germany",0.19037203596982
2019-12-08,2.988931e-08,"United States",0.47593008992455
2019-12-08,2.988931e-08,"Japan",0.0634573453232734
2019-12-08,2.988931e-08,"Indonesia",33.7910363846431
2019-12-08,2.988931e-08,"Spain",5.74288975175624
2019-12-08,2.988931e-08,"Canada",0.57111610790946
2019-12-08,2.988931e-08,"United States",0.0951860179849101
2019-12-08,2.988931e-08,"United States",0.0634573453232734
2019-12-08,2.988931e-08,"United States",0.126914690646547
2019-12-08,2.988931e-08,"Korea (South)",4.79102957190714
2019-12-08,2.988931e-08,"Thailand",6.25054851434243
2019-12-08,2.988931e-08,"Australia",1.11050354315728
2019-12-08,2.988931e-08,"Thailand",3.49015399278003
2019-12-08,2.988931e-08,"Ghana",0.19037203596982
2019-12-08,2.988931e-08,"United States",0.0951860179849101
2019-12-08,2.988931e-08,"Malaysia",9.10612905388973
2019-12-08,2.988931e-08,"United States",0.317286726616367
2019-12-08,2.988931e-08,"Russia",13.6750579171654
2019-12-08,2.988931e-08,"Brazil",0.66630212589437
2019-12-08,2.988931e-08,"United States",0.38074407193964
2019-12-08,2.988931e-08,"Thailand",6.56783524095879
