province,date,var,min,lower,midlow,median,midhigh,upper,max,mean,runname
Hubei,2019-11-01,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-01,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-01,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-01,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-02,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-02,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-02,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-02,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-03,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-03,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-03,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-03,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-04,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-04,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-04,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-04,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-05,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-05,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-05,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-05,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-06,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-06,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-06,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-06,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-07,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-07,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-07,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-07,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-08,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-08,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-08,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-08,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-09,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-09,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-09,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-09,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-10,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-10,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-10,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-10,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-11,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-11,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-11,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-11,"Prevalence of symptomatic, 
not yet recovered infections",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-12,"Prevalence of infections eligible
 for international travel",0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-12,Prevalence of all infected individuals,0,0,0,0,0,0,0,0,t_switch_6
Hubei,2019-11-12,Prevalence of pre-symptomatic infections,0,0,0,0,0,0,0,0,t_switch_6
