n_predict,dates,province_raw
185.95159013558006,2019-12-02,Hubei
199.05684108429577,2019-12-03,Hubei
213.0857066270227,2019-12-04,Hubei
228.1032800551147,2019-12-05,Hubei
244.17924221907296,2019-12-06,Hubei
261.3881848444896,2019-12-07,Hubei
279.80995663422664,2019-12-08,Hubei
299.530033762726,2019-12-09,Hubei
320.6399164815336,2019-12-10,Hubei
343.237553676257,2019-12-11,Hubei
367.42779734489625,2019-12-12,Hubei
393.3228891062943,2019-12-13,Hubei
421.0429809960898,2019-12-14,Hubei
450.71669296664044,2019-12-15,Hubei
482.48170967769073,2019-12-16,Hubei
516.4854193468649,2019-12-17,Hubei
552.8855976242229,2019-12-18,Hubei
591.851139664026,2019-12-19,Hubei
633.5628437904876,2019-12-20,Hubei
678.2142503936932,2019-12-21,Hubei
726.0125399481087,2019-12-22,Hubei
777.1794943204657,2019-12-23,Hubei
831.9525258274269,2019-12-24,Hubei
890.5857788178253,2019-12-25,Hubei
953.3513088907613,2019-12-26,Hubei
1020.5403452210799,2019-12-27,Hubei
1092.4646418493567,2019-12-28,Hubei
1169.457924206318,2019-12-29,Hubei
1251.8774375835023,2019-12-30,Hubei
1340.1056047349905,2019-12-31,Hubei
1434.5518003014142,2020-01-01,Hubei
1535.6542502894702,2020-01-02,Hubei
1643.8820654204503,2020-01-03,Hubei
1759.7374177824304,2020-01-04,Hubei
1883.7578708856763,2020-01-05,Hubei
2016.5188739326275,2020-01-06,Hubei
2158.6364318757483,2020-01-07,Hubei
2310.769963652194,2020-01-08,Hubei
2473.625361857376,2020-01-09,Hubei
2647.9582680541607,2020-01-10,Hubei
2834.5775789149848,2020-01-11,Hubei
3034.349199465249,2020-01-12,Hubei
3248.200060842844,2020-01-13,Hubei
3477.1224212160055,2020-01-14,Hubei
3722.178469815624,2020-01-15,Hubei
3984.505255444472,2020-01-16,Hubei
4265.3199623313785,2020-01-17,Hubei
4565.925557810094,2020-01-18,Hubei
4887.716838027847,2020-01-19,Hubei
5232.186899735381,2020-01-20,Hubei
5600.934068187251,2020-01-21,Hubei
5995.669313297475,2020-01-22,Hubei
6418.224188461416,2020-01-23,Hubei
6671.910611681365,2020-01-24,Hubei
6415.027420581628,2020-01-25,Hubei
5742.722835321965,2020-01-26,Hubei
4914.756576600413,2020-01-27,Hubei
4109.539679219358,2020-01-28,Hubei
3403.2827214390877,2020-01-29,Hubei
2812.4710800586554,2020-01-30,Hubei
2328.1486230695646,2020-01-31,Hubei
1933.7130530314034,2020-02-01,Hubei
1612.3653899591147,2020-02-02,Hubei
1349.6024652422652,2020-02-03,Hubei
1133.6637853970612,2020-02-04,Hubei
955.2566787909834,2020-02-05,Hubei
807.1013006514178,2020-02-06,Hubei
683.4930106257699,2020-02-07,Hubei
579.9394598981842,2020-02-08,Hubei
492.8773516206832,2020-02-09,Hubei
419.4572171086589,2020-02-10,Hubei
357.3815477189925,2020-02-11,Hubei
304.78321046016447,2020-02-12,Hubei
260.1337583063328,2020-02-13,Hubei
222.1737921152043,2020-02-14,Hubei
189.85959755260652,2020-02-15,Hubei
162.32184940921752,2020-02-16,Hubei
138.83332859863484,2020-02-17,Hubei
118.7834306457411,2020-02-18,Hubei
101.65784282347033,2020-02-19,Hubei
87.02219596663582,2020-02-20,Hubei
74.50880503467862,2020-02-21,Hubei
63.80583477784381,2020-02-22,Hubei
54.648388297056336,2020-02-23,Hubei
46.81113445089048,2020-02-24,Hubei
40.10217731807074,2020-02-25,Hubei
34.35793597330244,2020-02-26,Hubei
29.438851817997396,2020-02-27,Hubei
25.225777975240273,2020-02-28,Hubei
21.616933907562913,2020-02-29,Hubei
18.52533066622,2020-03-01,Hubei
15.876589633269084,2020-03-02,Hubei
13.607091437577443,2020-03-03,Hubei
