"Destination Country","Lower Bound","Mean predicted number","Upper bound"
"Algeria",0,1.92430041647295,5
"Angola",0,0.357386868392228,2
"Congo (Kinshasa)",0,0.912546538662661,3
"Cote D'Ivoire",0,0.499035254878834,2
"Egypt",6,13.1236971209748,22
"Equatorial Guinea",0,0.0979118611707315,1
"Ethiopia",1,4.02353557261206,9
"Gabon",0,0.235494597756792,1.02499999999998
"Ghana",0,1.1673378538399,4
"Guinea",0,0.412636309068337,2
"Kenya",1,5.43367759362932,11
"Madagascar",0,0.281718468957379,2
"Mauritania",0,0.14184424939377,1
"Mauritius",0,0.958346203770291,3
"Morocco",1,3.49185820218827,7
"Mozambique",0,0.493077125556429,2
"Nigeria",0,1.88083206373029,5
"Senegal",0,0.320546581615949,2
"Seychelles",0,0.307145693911738,2
"South Africa",7,14.1988678856523,23
"Sudan",0,0.836330925923491,3
"Tanzania",0,1.43974152760393,4
"Tunisia",0,0.53190083243301,2
"Uganda",0,1.13336534977812,4
"Zambia",0,3.73347110365538,9
"Zimbabwe",0,0.552570621192159,3
