"Destination Country","Lower Bound","Mean predicted number","Upper bound"
"Algeria",0,3.45393454252664,8
"Angola",0,0.435735371572679,2
"Congo (Kinshasa)",0,1.04194755438702,3
"Cote D'Ivoire",0,0.573055789861338,2
"Egypt",7,14.9739788825853,24
"Equatorial Guinea",0,0.129305301362471,1
"Ethiopia",1,4.7277276796901,10
"Gabon",0,0.271132301303751,2
"Ghana",0,1.3617395703512,4
"Guinea",0,0.473033674583325,2
"Kenya",2,6.7330770273919,13
"Madagascar",0,0.316711435084026,2
"Mauritania",0,0.18364829736793,1
"Mauritius",0,1.11369106946061,3
"Morocco",1,4.27590801989316,9
"Mozambique",0,0.648631173787596,2
"Nigeria",0,2.17316028980271,6
"Senegal",0,0.38316254449058,2
"Seychelles",0,0.392959326428881,2
"South Africa",8,18.1937864660932,28
"Sudan",0,0.931001839426193,4
"Tanzania",0,1.6518389185398,5
"Tunisia",0,0.636548743217724,3
"Uganda",0,1.29795271048091,4
"Zambia",1,5.31631025517771,11
"Zimbabwe",0,0.638476250799127,3
