cities,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,day32,day33,day34,day35,day36,day37,day38,day39,day40,day41,day42,day43,day44,day45,day46,day47,day48,day49,day50,day51,day52,day53,day54,day55,day56,day57,day58,day59,day60,day61,day62,day63,day64,day65,day66,day67,day68,day69,day70,day71,day72,day73,day74,day75,day76,day77,day78,day79,day80,day81,day82,day83,day84,day85,day86,day87,day88,day89,day90,day91,day92,day93,day94,day95,day96,day97,day98,day99,day100,day101,day102,day103,day104,day105,day106,day107,day108,day109,day110,day111,day112,day113,day114,day115,day116,day117,day118,day119,day120,day121,day122,day123,day124,Scenario
Hefei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3790384516433493e-11,4.688303833647135e-11,1.1204925262080287e-10,2.2296029691432165e-10,3.886341159064365e-10,6.19941650072604e-10,9.346156114953466e-10,1.3582586709907544e-9,1.9249931985497727e-9,2.6785403051570073e-9,3.6757852483275888e-9,4.991138865184617e-9,6.720699218139086e-9,8.994691545085016e-9,1.1979918703958695e-8,1.589616361876949e-8,2.1031730081226763e-8,2.777425034713518e-8,3.663130200981001e-8,4.826912796785455e-8,6.359364745556789e-8,8.382448518443168e-8,1.1065434935945058e-7,1.464605375810011e-7,1.946602635097859e-7,2.7287043599958165e-7,4.0317804922448777e-7,5.844829839075456e-7,8.180242189740115e-7,1.141185540111725e-6,1.6196894639552742e-6,2.3371791068602213e-6,3.3648458329048486e-6,4.565428861117143e-6,6.157180481700993e-6,7.908529180528381e-6,1.0156245300146763e-5,1.2978992561864856e-5,1.6802765173109088e-5,2.150494106909237e-5,2.76622261525157e-5,3.576299592887088e-5,4.486188776032873e-5,5.6146850040206587e-5,7.099697364917566e-5,8.751610399535368e-5,1.0360006880219639e-4,1.1414205215768771e-4,1.2229581884129476e-4,1.2928069569868452e-4,1.3579202803419522e-4,1.4165819346266835e-4,1.4673815705107908e-4,1.5077904080277663e-4,1.5378358712628468e-4,1.5568430235172448e-4,1.564598162232048e-4,1.5629953833025382e-4,1.5512228421829457e-4,1.5319651457104187e-4,1.5050520243215925e-4,1.4715339936369483e-4,1.4321118290167449e-4,1.3879527706611735e-4,1.3391456662088555e-4,1.2861517056934326e-4,1.229690511194352e-4,1.1710810104463039e-4,1.1098396555625816e-4,1.046684253737055e-4,9.823364268452186e-5,9.173606489312576e-5,8.522257382841185e-5,7.878773976770792e-5,7.244609635701028e-5,6.625559462785146e-5,6.029026416017698e-5,5.4568617013349705e-5,4.913448962653876e-5,4.400607943042375e-5,3.921373249226521e-5,3.475602492673149e-5,3.064472157495515e-5,2.687992364682831e-5,2.3469762304880324e-5,2.0380465641373226e-5,1.7617057635877168e-5,Scenario 4
Beijing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6719599607455535e-11,9.104207150111154e-11,2.187412383382504e-10,4.3887628703775916e-10,7.729497912777464e-10,1.2474887064594697e-9,1.903307996605867e-9,2.7973960966412628e-9,4.003484884218346e-9,5.617625004840265e-9,7.764487728081585e-9,1.0599212336758668e-8,1.4335141223668128e-8,1.9252719782781693e-8,2.5705487666635755e-8,3.418196168018578e-8,4.529697485414512e-8,5.988067556610962e-8,7.902494277252317e-8,1.0419191049514186e-7,1.373516185314417e-7,1.8120124331629432e-7,2.395441224479259e-7,3.1759186949194364e-7,4.2304924279341684e-7,6.035056484099443e-7,8.937197821219228e-7,1.2872347183052038e-6,1.9371559546854262e-06,2.8190832893384905e-6,4.044667776085865e-6,5.764832164178607e-6,7.899209042695402e-6,1.0497351915918843e-5,1.3492087688921232e-5,1.7004587282525598e-5,2.1619395382093132e-5,2.7160977598717995e-5,3.394428541579268e-5,4.21564291091139e-5,5.143608737785405e-5,6.135266592645537e-5,7.21591442198387e-5,8.38966488780994e-5,9.727028614473674e-5,1.1113559840963571e-4,1.2489195019894716e-4,1.3568859186540306e-4,1.4486041966802987e-4,1.5278264068827626e-4,1.5983898368314312e-4,1.6604816137637553e-4,1.7094595309890916e-4,1.7465989407213653e-4,1.7704162844780317e-4,1.7808629891582608e-4,1.7797677324997858e-4,1.7683042540489704e-4,1.7466865962061144e-4,1.7161707826553513e-4,1.6784603430312458e-4,1.635059677603708e-4,1.5861000283566766e-4,1.531987763473688e-4,1.4739542457346447e-4,1.4121999606813142e-4,1.3470502586262068e-4,1.2793498194534953e-4,1.2091499021482402e-4,1.137524841093052e-4,1.0651997031791112e-4,9.922051740953923e-5,9.195122084154144e-5,8.477975732187944e-5,7.777453329640461e-5,7.096902489936548e-5,6.440080462293995e-5,5.81481027838745e-5,5.222154837169881e-5,4.6663625987852974e-5,4.1470836425021375e-5,3.667521248414631e-5,3.225843314739513e-5,2.8237206626896417e-5,2.4606486038776373e-5,2.133407002489099e-5,1.8413710111235365e-5,Scenario 4
Chongqing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2317890369050533e-11,4.187385944097276e-11,1.0003257636000285e-10,1.988924264263672e-10,3.4644861930930603e-10,5.521993784735552e-10,8.31690120260856e-10,1.2079147974867839e-9,1.71043884225702e-9,2.3791642594686314e-9,3.2638741148000862e-9,4.43051401846817e-9,5.9659482669445495e-9,7.981102211027244e-9,1.0627722807065572e-8,1.4099523556376383e-8,1.8657918161284954e-8,2.4639775940876438e-8,3.2491234595763943e-8,4.28177722925228e-8,5.644335049821506e-8,7.446324542079177e-8,9.84217100477203e-8,1.3053820442841283e-7,1.7403417632812236e-7,2.457306596499534e-7,3.6770900300927547e-7,5.463633839944416e-7,7.812698006861713e-7,1.1273411291847589e-6,1.6404831416668628e-6,2.4084430707980417e-6,3.6215278710977243e-6,5.019217183569836e-6,6.762909769275065e-6,8.89906951788401e-6,1.1494502234397712e-5,1.4825163616744588e-5,1.941902308567772e-5,2.4984949396158054e-5,3.172605975690711e-5,4.059158661217763e-5,5.094697439528497e-5,6.36394695759227e-5,8.015868983917873e-5,9.733989968991341e-5,1.1455117981519478e-4,1.2663373234001016e-4,1.353187615121766e-4,1.4266315709155842e-4,1.4957905348051141e-4,1.5579726199763455e-4,1.6110162853314423e-4,1.6549511347631131e-4,1.6865061616229844e-4,1.7055947742851052e-4,1.7133670451578405e-4,1.7101965549480344e-4,1.696614386174701e-4,1.674083887715561e-4,1.643226779722455e-4,1.605662755365074e-4,1.562151177363518e-4,1.5131453738403549e-4,1.4594229661625487e-4,1.4009531830224195e-4,1.3392515617435623e-4,1.2743002632793142e-4,1.2069449861189608e-4,1.1373740622358754e-4,1.0665580989192982e-4,9.953650132593521e-5,9.24179659651586e-5,8.535978543853899e-5,7.844297239482333e-5,7.174605741161431e-5,6.525511229967655e-5,5.903366488602894e-5,5.310978076689087e-5,4.752905038918379e-5,4.231911141993529e-5,3.749532703161377e-5,3.304252587839811e-5,2.8984121305960308e-5,2.529898871442464e-5,2.1974648918709495e-5,1.898988867697148e-5,Scenario 4
Fuzhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.956560754048325e-12,2.36063892538789e-11,5.612786391516228e-11,1.1081230280797778e-10,1.9121039171245886e-10,3.0165521545262305e-10,4.4943213429030816e-10,6.457980702605239e-10,9.059421363903307e-10,1.2498568019544264e-9,1.7027785961642131e-9,2.2994341790104366e-9,3.0831333413654852e-9,4.110593031996103e-9,5.4597192297278575e-9,7.2302465495972285e-9,9.552688218846759e-9,1.2604421991245076e-8,1.661237653143854e-8,2.189305182842516e-8,2.887493053528966e-8,3.815022903473472e-8,5.0569866471635084e-8,6.734542524315448e-8,9.030169908178065e-8,1.3502022959449342e-7,2.07331724274273e-7,3.123380471092532e-7,4.403850520310045e-7,6.288831003241356e-7,9.036589100204688e-7,1.3416925585491614e-6,1.9709666940229774e-6,2.6572471823269526e-6,3.5588630203738414e-6,4.616987043505783e-6,5.975446643658168e-6,7.625808143166504e-6,9.795995391444503e-6,1.2646520016276204e-5,1.6227169955887412e-5,2.0708460871895564e-5,2.6156248235271458e-5,3.237913554833041e-5,4.02000975485508e-5,4.8427089382606286e-5,5.6422314432952585e-5,6.109985207012036e-5,6.39072163062307e-5,6.589468031718894e-5,6.764737166328498e-5,6.919069200579434e-5,7.046643348505193e-5,7.141789856936022e-5,7.20518844451857e-5,7.224421920624594e-5,7.206350701822999e-5,7.150483114653557e-5,7.055410337959165e-5,6.925215081484669e-5,6.763426612472683e-5,6.571403834990344e-5,6.356585966957341e-5,6.118000109285634e-5,5.8592986077621775e-5,5.585748850133758e-5,5.29803850390742e-5,4.999518046139013e-5,4.696447286114961e-5,4.388198878238051e-5,4.08084243540056e-5,3.774470729379872e-5,3.47289142687766e-5,3.180176861918069e-5,2.89784484482453e-5,2.6267463283267202e-5,2.370609513044965e-5,2.1273848274751844e-5,1.9005763003383862e-5,1.689451211299813e-5,1.4943613041944752e-5,1.3156769075695036e-5,1.153011855366874e-5,1.0059021047471013e-5,8.735544423983131e-6,7.550288069241198e-6,6.4984761416884306e-6,Scenario 4
Guangzhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0345652442512802e-11,3.52955673474336e-11,8.506476300450071e-11,1.7150131524421189e-10,3.0383809886774936e-10,4.935589731714146e-10,7.579708324526137e-10,1.1204638947674255e-9,1.6120274192396096e-9,2.2718993294104718e-9,3.150455946193945e-9,4.3129149149400015e-9,5.846998528544178e-9,7.864550220973277e-9,1.051383425336582e-8,1.398938696214458e-8,1.8548610159678265e-8,2.4531901982344987e-8,3.238164650116923e-8,4.270111470945321e-8,5.627789654934688e-8,7.418661408776458e-8,9.791575363401602e-8,1.294988658138014e-7,1.717877436037081e-7,2.4197244470293746e-7,3.5033684684953306e-7,4.99286397397456e-7,7.120722871834496e-7,9.890563947883319e-7,1.3782935982762681e-6,1.9376596305285257e-6,2.7023771796954666e-6,3.6027616552804623e-6,4.704491414973888e-6,5.993446118431224e-6,7.6128481170690935e-6,9.473409537299424e-6,1.1718761960986492e-5,1.4490003687929723e-5,1.7866021412660366e-5,2.1997328520221338e-5,2.6997964212031692e-5,3.296100395420314e-5,4.075369915439065e-5,4.95806728297422e-5,5.8993028806793576e-5,6.745861402793492e-5,7.444810054298426e-5,8.052278317404753e-5,8.63242562945825e-5,9.16604075677279e-5,9.638554124325587e-5,1.0030740219757898e-4,1.0335118789538846e-4,1.0548233307762267e-4,1.0674119817134777e-4,1.0719573717205786e-4,1.0692092374395158e-4,1.0606670150743966e-4,1.0465087938876004e-4,1.027866540926902e-4,1.0053252802104729e-4,9.791842696288991e-5,9.499765261464418e-5,9.180184534889907e-5,8.834732684735337e-5,8.466144886627719e-5,8.079593697617487e-5,7.674101083623275e-5,7.255291740539279e-5,6.823934790363553e-5,6.385774885202e-5,5.946605927193939e-5,5.506877909445014e-5,5.0703441038945056e-5,4.6434878509549195e-5,4.229448315774899e-5,3.831586680580626e-5,3.453693061359376e-5,3.0948399449040254e-5,2.7583796594288556e-5,2.44526761114815e-5,2.15770381894778e-5,1.8931965651714348e-5,1.653152659462875e-5,1.4350676982162511e-5,Scenario 4
Guangzhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0345652442512802e-11,3.52955673474336e-11,8.506476300450071e-11,1.7150131524421189e-10,3.0383809886774936e-10,4.935589731714146e-10,7.579708324526137e-10,1.1204638947674255e-9,1.6120274192396096e-9,2.2718993294104718e-9,3.150455946193945e-9,4.3129149149400015e-9,5.846998528544178e-9,7.864550220973277e-9,1.051383425336582e-8,1.398938696214458e-8,1.8548610159678265e-8,2.4531901982344987e-8,3.238164650116923e-8,4.270111470945321e-8,5.627789654934688e-8,7.418661408776458e-8,9.791575363401602e-8,1.294988658138014e-7,1.717877436037081e-7,2.4197244470293746e-7,3.5033684684953306e-7,4.99286397397456e-7,7.120722871834496e-7,9.890563947883319e-7,1.3782935982762681e-6,1.9376596305285257e-6,2.7023771796954666e-6,3.6027616552804623e-6,4.704491414973888e-6,5.993446118431224e-6,7.6128481170690935e-6,9.473409537299424e-6,1.1718761960986492e-5,1.4490003687929723e-5,1.7866021412660366e-5,2.1997328520221338e-5,2.6997964212031692e-5,3.296100395420314e-5,4.075369915439065e-5,4.95806728297422e-5,5.8993028806793576e-5,6.745861402793492e-5,7.444810054298426e-5,8.052278317404753e-5,8.63242562945825e-5,9.16604075677279e-5,9.638554124325587e-5,1.0030740219757898e-4,1.0335118789538846e-4,1.0548233307762267e-4,1.0674119817134777e-4,1.0719573717205786e-4,1.0692092374395158e-4,1.0606670150743966e-4,1.0465087938876004e-4,1.027866540926902e-4,1.0053252802104729e-4,9.791842696288991e-5,9.499765261464418e-5,9.180184534889907e-5,8.834732684735337e-5,8.466144886627719e-5,8.079593697617487e-5,7.674101083623275e-5,7.255291740539279e-5,6.823934790363553e-5,6.385774885202e-5,5.946605927193939e-5,5.506877909445014e-5,5.0703441038945056e-5,4.6434878509549195e-5,4.229448315774899e-5,3.831586680580626e-5,3.453693061359376e-5,3.0948399449040254e-5,2.7583796594288556e-5,2.44526761114815e-5,2.15770381894778e-5,1.8931965651714348e-5,1.653152659462875e-5,1.4350676982162511e-5,Scenario 4
Guangzhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0345652442512802e-11,3.52955673474336e-11,8.506476300450071e-11,1.7150131524421189e-10,3.0383809886774936e-10,4.935589731714146e-10,7.579708324526137e-10,1.1204638947674255e-9,1.6120274192396096e-9,2.2718993294104718e-9,3.150455946193945e-9,4.3129149149400015e-9,5.846998528544178e-9,7.864550220973277e-9,1.051383425336582e-8,1.398938696214458e-8,1.8548610159678265e-8,2.4531901982344987e-8,3.238164650116923e-8,4.270111470945321e-8,5.627789654934688e-8,7.418661408776458e-8,9.791575363401602e-8,1.294988658138014e-7,1.717877436037081e-7,2.4197244470293746e-7,3.5033684684953306e-7,4.99286397397456e-7,7.120722871834496e-7,9.890563947883319e-7,1.3782935982762681e-6,1.9376596305285257e-6,2.7023771796954666e-6,3.6027616552804623e-6,4.704491414973888e-6,5.993446118431224e-6,7.6128481170690935e-6,9.473409537299424e-6,1.1718761960986492e-5,1.4490003687929723e-5,1.7866021412660366e-5,2.1997328520221338e-5,2.6997964212031692e-5,3.296100395420314e-5,4.075369915439065e-5,4.95806728297422e-5,5.8993028806793576e-5,6.745861402793492e-5,7.444810054298426e-5,8.052278317404753e-5,8.63242562945825e-5,9.16604075677279e-5,9.638554124325587e-5,1.0030740219757898e-4,1.0335118789538846e-4,1.0548233307762267e-4,1.0674119817134777e-4,1.0719573717205786e-4,1.0692092374395158e-4,1.0606670150743966e-4,1.0465087938876004e-4,1.027866540926902e-4,1.0053252802104729e-4,9.791842696288991e-5,9.499765261464418e-5,9.180184534889907e-5,8.834732684735337e-5,8.466144886627719e-5,8.079593697617487e-5,7.674101083623275e-5,7.255291740539279e-5,6.823934790363553e-5,6.385774885202e-5,5.946605927193939e-5,5.506877909445014e-5,5.0703441038945056e-5,4.6434878509549195e-5,4.229448315774899e-5,3.831586680580626e-5,3.453693061359376e-5,3.0948399449040254e-5,2.7583796594288556e-5,2.44526761114815e-5,2.15770381894778e-5,1.8931965651714348e-5,1.653152659462875e-5,1.4350676982162511e-5,Scenario 4
Dongguan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03456524425128e-11,3.5295567347433594e-11,8.506476300450071e-11,1.7150131524421189e-10,3.0383809886774936e-10,4.935589731714146e-10,7.579708324526137e-10,1.1204638947674253e-9,1.6120274192396096e-9,2.2718993294104718e-9,3.1504559461939446e-9,4.3129149149400015e-9,5.846998528544177e-9,7.864550220973279e-9,1.051383425336582e-8,1.398938696214458e-8,1.8548610159678265e-8,2.4531901982344984e-8,3.238164650116923e-8,4.270111470945321e-8,5.6277896549346873e-8,7.418661408776458e-8,9.791575363401602e-8,1.294988658138014e-7,1.717877436037081e-7,2.419724447029374e-7,3.5033684684953306e-7,4.99286397397456e-7,7.120722871834497e-7,9.890563947883319e-7,1.378293598276268e-6,1.9376596305285257e-6,2.7023771796954666e-6,3.6027616552804623e-6,4.704491414973888e-6,5.993446118431224e-6,7.6128481170690935e-6,9.473409537299424e-6,1.1718761960986492e-5,1.4490003687929723e-5,1.7866021412660366e-5,2.1997328520221334e-5,2.6997964212031692e-5,3.296100395420314e-5,4.075369915439065e-5,4.958067282974221e-5,5.8993028806793576e-5,6.745861402793492e-5,7.444810054298426e-5,8.052278317404753e-5,8.632425629458249e-5,9.16604075677279e-5,9.638554124325585e-5,1.0030740219757898e-4,1.0335118789538846e-4,1.0548233307762266e-4,1.0674119817134777e-4,1.0719573717205786e-4,1.069209237439516e-4,1.0606670150743967e-4,1.0465087938876004e-4,1.0278665409269018e-4,1.0053252802104729e-4,9.791842696288992e-5,9.499765261464417e-5,9.180184534889906e-5,8.834732684735337e-5,8.466144886627719e-5,8.079593697617487e-5,7.674101083623275e-5,7.255291740539279e-5,6.823934790363553e-5,6.385774885202e-5,5.946605927193938e-5,5.5068779094450136e-5,5.0703441038945056e-5,4.643487850954918e-5,4.229448315774899e-5,3.831586680580626e-5,3.453693061359376e-5,3.094839944904025e-5,2.7583796594288556e-5,2.4452676111481498e-5,2.1577038189477795e-5,1.893196565171435e-5,1.653152659462875e-5,1.4350676982162511e-5,Scenario 4
Dongguan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03456524425128e-11,3.5295567347433594e-11,8.506476300450071e-11,1.7150131524421189e-10,3.0383809886774936e-10,4.935589731714146e-10,7.579708324526137e-10,1.1204638947674253e-9,1.6120274192396096e-9,2.2718993294104718e-9,3.1504559461939446e-9,4.3129149149400015e-9,5.846998528544177e-9,7.864550220973279e-9,1.051383425336582e-8,1.398938696214458e-8,1.8548610159678265e-8,2.4531901982344984e-8,3.238164650116923e-8,4.270111470945321e-8,5.6277896549346873e-8,7.418661408776458e-8,9.791575363401602e-8,1.294988658138014e-7,1.717877436037081e-7,2.419724447029374e-7,3.5033684684953306e-7,4.99286397397456e-7,7.120722871834497e-7,9.890563947883319e-7,1.378293598276268e-6,1.9376596305285257e-6,2.7023771796954666e-6,3.6027616552804623e-6,4.704491414973888e-6,5.993446118431224e-6,7.6128481170690935e-6,9.473409537299424e-6,1.1718761960986492e-5,1.4490003687929723e-5,1.7866021412660366e-5,2.1997328520221334e-5,2.6997964212031692e-5,3.296100395420314e-5,4.075369915439065e-5,4.958067282974221e-5,5.8993028806793576e-5,6.745861402793492e-5,7.444810054298426e-5,8.052278317404753e-5,8.632425629458249e-5,9.16604075677279e-5,9.638554124325585e-5,1.0030740219757898e-4,1.0335118789538846e-4,1.0548233307762266e-4,1.0674119817134777e-4,1.0719573717205786e-4,1.069209237439516e-4,1.0606670150743967e-4,1.0465087938876004e-4,1.0278665409269018e-4,1.0053252802104729e-4,9.791842696288992e-5,9.499765261464417e-5,9.180184534889906e-5,8.834732684735337e-5,8.466144886627719e-5,8.079593697617487e-5,7.674101083623275e-5,7.255291740539279e-5,6.823934790363553e-5,6.385774885202e-5,5.946605927193938e-5,5.5068779094450136e-5,5.0703441038945056e-5,4.643487850954918e-5,4.229448315774899e-5,3.831586680580626e-5,3.453693061359376e-5,3.094839944904025e-5,2.7583796594288556e-5,2.4452676111481498e-5,2.1577038189477795e-5,1.893196565171435e-5,1.653152659462875e-5,1.4350676982162511e-5,Scenario 4
Dongguan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03456524425128e-11,3.5295567347433594e-11,8.506476300450071e-11,1.7150131524421189e-10,3.0383809886774936e-10,4.935589731714146e-10,7.579708324526137e-10,1.1204638947674253e-9,1.6120274192396096e-9,2.2718993294104718e-9,3.1504559461939446e-9,4.3129149149400015e-9,5.846998528544177e-9,7.864550220973279e-9,1.051383425336582e-8,1.398938696214458e-8,1.8548610159678265e-8,2.4531901982344984e-8,3.238164650116923e-8,4.270111470945321e-8,5.6277896549346873e-8,7.418661408776458e-8,9.791575363401602e-8,1.294988658138014e-7,1.717877436037081e-7,2.419724447029374e-7,3.5033684684953306e-7,4.99286397397456e-7,7.120722871834497e-7,9.890563947883319e-7,1.378293598276268e-6,1.9376596305285257e-6,2.7023771796954666e-6,3.6027616552804623e-6,4.704491414973888e-6,5.993446118431224e-6,7.6128481170690935e-6,9.473409537299424e-6,1.1718761960986492e-5,1.4490003687929723e-5,1.7866021412660366e-5,2.1997328520221334e-5,2.6997964212031692e-5,3.296100395420314e-5,4.075369915439065e-5,4.958067282974221e-5,5.8993028806793576e-5,6.745861402793492e-5,7.444810054298426e-5,8.052278317404753e-5,8.632425629458249e-5,9.16604075677279e-5,9.638554124325585e-5,1.0030740219757898e-4,1.0335118789538846e-4,1.0548233307762266e-4,1.0674119817134777e-4,1.0719573717205786e-4,1.069209237439516e-4,1.0606670150743967e-4,1.0465087938876004e-4,1.0278665409269018e-4,1.0053252802104729e-4,9.791842696288992e-5,9.499765261464417e-5,9.180184534889906e-5,8.834732684735337e-5,8.466144886627719e-5,8.079593697617487e-5,7.674101083623275e-5,7.255291740539279e-5,6.823934790363553e-5,6.385774885202e-5,5.946605927193938e-5,5.5068779094450136e-5,5.0703441038945056e-5,4.643487850954918e-5,4.229448315774899e-5,3.831586680580626e-5,3.453693061359376e-5,3.094839944904025e-5,2.7583796594288556e-5,2.4452676111481498e-5,2.1577038189477795e-5,1.893196565171435e-5,1.653152659462875e-5,1.4350676982162511e-5,Scenario 4
