"destination_country","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7","Scenario 8","Scenario 9"
"Algeria",1.39,0.21,1.03,1.71,1.37,1.64,1.36,1.39,1.43
"Angola",0.1,0.07,0.08,0.11,0.09,0.22,0.09,0.1,0.12
"Congo (Kinshasa)",0.03,0.06,0.02,0.04,0.01,0.33,0,0.04,0.07
"Cote D'Ivoire",0.05,0.07,0.04,0.06,0.04,0.27,0.03,0.05,0.08
"Egypt",1.03,1.22,0.82,1.18,0.75,5.1,0.62,1.73,1.52
"Equatorial Guinea",0.02,0.02,0.02,0.03,0.02,0.08,0.02,0.02,0.04
"Ethiopia",0.29,0.39,0.22,0.35,0.19,1.84,0.13,0.29,0.51
"Gabon",0.04,0.04,0.03,0.04,0.03,0.16,0.03,0.04,0.06
"Ghana",0.14,0.15,0.11,0.16,0.11,0.59,0.09,0.14,0.2
"Guinea",0.02,0.07,0.02,0.03,0.01,0.25,0,0.02,0.06
"Kenya",1.17,0.57,0.94,1.36,1.1,2.35,1.06,1.33,1.27
"Madagascar",0.03,0.05,0.03,0.04,0.02,0.21,0.02,0.03,0.05
"Mauritania",0.02,0.02,0.02,0.03,0.02,0.08,0.02,0.02,0.03
"Mauritius",0.11,0.19,0.08,0.13,0.07,0.73,0.05,0.12,0.25
"Morocco",0.93,0.62,0.76,1.06,0.85,2.18,0.81,1.03,1.13
"Mozambique",0.1,0.06,0.07,0.12,0.09,0.21,0.09,0.1,0.11
"Nigeria",0.17,0.25,0.14,0.2,0.12,1.06,0.09,0.18,0.29
"Senegal",0.04,0.06,0.03,0.05,0.03,0.22,0.02,0.04,0.07
"Seychelles",0.14,0.08,0.11,0.15,0.13,0.26,0.12,0.14,0.16
"South Africa",2.98,1.24,2.33,3.51,2.82,5.35,2.75,3.26,3.23
"Sudan",0.05,0.1,0.04,0.06,0.02,0.47,0,0.09,0.09
"Tanzania",0.13,0.17,0.11,0.15,0.09,0.69,0.07,0.15,0.2
"Tunisia",0.07,0.06,0.05,0.08,0.06,0.26,0.05,0.09,0.1
"Uganda",0.09,0.13,0.08,0.11,0.06,0.58,0.05,0.1,0.15
"Zambia",1.13,0.22,0.83,1.4,1.1,1.74,1.07,1.16,1.21
"Zimbabwe",0.08,0.07,0.07,0.09,0.07,0.26,0.06,0.09,0.11
"Total",10.35,6.19,8.08,12.25,9.27,27.13,8.7,11.75,12.54
